planner,strategy,fail_prob,seed,grid_size,success,steps,replans,planning_time_total,planning_time_avg,wallclock_time
PDDL,lookahead,0.0,2,5,True,10,1,0.0074079036712646484,0.0074079036712646484,0.0076
PDDL,lookahead,0.0,3,5,True,12,1,0.007990837097167969,0.007990837097167969,0.0084
PDDL,lookahead,0.0,4,5,True,13,1,0.007485151290893555,0.007485151290893555,0.0077
PDDL,lookahead,0.0,5,5,True,10,1,0.0073621273040771484,0.0073621273040771484,0.0076
PDDL,lookahead,0.0,6,5,True,10,1,0.008335113525390625,0.008335113525390625,0.0087
PDDL,lookahead,0.0,7,5,True,11,1,0.008013010025024414,0.008013010025024414,0.0083
PDDL,lookahead,0.0,8,5,True,15,1,0.007594108581542969,0.007594108581542969,0.0079
PDDL,lookahead,0.0,9,5,True,15,1,0.00833892822265625,0.00833892822265625,0.0086
PDDL,lookahead,0.0,10,5,True,7,1,0.006333112716674805,0.006333112716674805,0.0065
PDDL,lookahead,0.0,11,5,True,16,1,0.006579875946044922,0.006579875946044922,0.0069
PDDL,lookahead,0.0,12,5,True,16,1,0.006233930587768555,0.006233930587768555,0.0066
PDDL,lookahead,0.0,13,5,True,15,1,0.006491899490356445,0.006491899490356445,0.0067
PDDL,lookahead,0.0,14,5,True,16,1,0.006350994110107422,0.006350994110107422,0.0066
PDDL,lookahead,0.0,15,5,True,15,1,0.006043910980224609,0.006043910980224609,0.0063
PDDL,lookahead,0.0,16,5,True,15,1,0.0076580047607421875,0.0076580047607421875,0.0079
PDDL,lookahead,0.0,17,5,True,11,1,0.007376194000244141,0.007376194000244141,0.0076
PDDL,lookahead,0.0,18,5,True,13,1,0.007486820220947266,0.007486820220947266,0.0077
PDDL,lookahead,0.0,19,5,True,8,1,0.007539987564086914,0.007539987564086914,0.0077
